movie_id,revnue_id,domestic_box_office,international_box_office,worldwide_box_office,opening_weekend
M110,R110,"$18,065,180 ","$23,643,396 ","$41,708,576 ","$412,932 "
M111,R111,"$210,460,015 ","$587,206,410 ","$797,666,425 ","$50,802,605 "
M112,R112,"$14,431,633 ","$4,664,370 ","$19,096,003 ","$4,754,215 "
M113,R113,"$14,828,555 ","$20,154,787 ","$34,983,342 ","$7,810,112 "
M114,R114,"$315,058,289 ","$535,424,489 ","$850,482,778 ","$122,744,989 "
M115,R115,"$5,083,906 ","$2,087,414 ","$7,171,320 ","$2,366,810 "
M116,R116,"$47,695,371 ","$30,038,496 ","$77,733,867 ","$256,498 "
M117,R117,"$234,037,575 ","$577,686,810 ","$811,724,385 ","$74,403,387 "
M118,R118,"$47,319,572 ","$560,000 ","$47,879,572 ","$21,226,953 "
M119,R119,"$6,423,605 ","$2,027 ","$6,425,632 ","$2,591,985 "
M120,R120,"$15,767,460 ","$13,544,661 ","$29,312,121 ","$6,653,777 "
M121,R121,"$8,803,865 ","$3,713,514 ","$12,517,379 ","$161,510 "
M122,R122,"$18,340,051 ","$6,215,126 ","$24,555,177 ","$6,002,665 "
M123,R123,"$1,660,708 ","$63,573,085 ","$65,233,793 ","$24,988 "
M124,R124,"$159,366,015 ","$96,050,074 ","$255,416,089 ","$76,221,545 "
M125,R125,"$42,065,185 ","$428,321 ","$42,493,506 ","$15,134,235 "
M126,R126,"$2,483,472 ","$4,539,820 ","$7,023,292 ","$184,037 "
M127,R127,"$132,422,809 ","$179,446,086 ","$311,868,895 ","$27,547,866 "
M128,R128,"$1,738,477 ","$28,491,925 ","$30,230,402 ","$114,129 "
M129,R129,"$100,546,139 ","$102,317,164 ","$202,863,303 ","$24,074,047 "
M130,R130,"$82,703 ","$17,299,990 ","$17,382,693 ","$35,070 "
M131,R131,"$10,051,659 ","$65,157 ","$10,116,816 ","$3,000,805 "
M132,R132,"$10,663,357 ","$21,735,324 ","$32,398,681 ","$492,648 "
M133,R133,"$7,710,234 ","$5,187,830 ","$12,898,064 ","$159,615 "
M134,R134,"$7,634,767 ","$5,679,795 ","$13,314,562 ","$218,888 "
M135,R135,"$33,700,160 ","$187,095,849 ","$220,796,009 ","$13,707,376 "
M136,R136,"$67,209,615 ","$101,814,311 ","$169,023,926 ","$15,190,758 "
M137,R137,"$44,936,545 ","$60,766,780 ","$105,703,325 ","$16,006,065 "
M138,R138,"$46,697,321 ","$46,594,157 ","$93,291,478 ","$15,802,225 "
M139,R139,"$215,288,866 ","$216,581,657 ","$431,870,523 ","$42,908,051 "
M140,R140,"$6,670,765 ","$36,493,914 ","$43,164,679 ","$3,372,565 "
M141,R141,"$55,683,845 ","$69,326,415 ","$125,010,260 ","$26,039,025 "
M142,R142,"$10,153 ","$11,823 ","$21,976 ","$5,419 "
M143,R143,"$29,719,483 ","$5,348,182 ","$35,067,665 ","$512,035 "
M144,R144,"$232,641,920 ","$443,712,561 ","$676,354,481 ","$85,058,311 "
M145,R145,"$5,904,366 ","$5,371,279 ","$11,275,645 ","$156,833 "
M146,R146,"$27,854,931 ","$37,302,208 ","$65,157,139 ","$402,075 "
M147,R147,"$213,511,408 ","$642,569,645 ","$856,081,053 ","$80,255,756 "
M148,R148,"$21,885,107 ","$39,409,537 ","$61,294,644 ","$8,885,899 "
M149,R149,"$1,513,793 ","$2,257,552 ","$3,771,345 ","$835,572 "
M150,R150,"$21,587,519 ","$13,793,399 ","$35,380,918 ","$8,000,058 "
M151,R151,"$11,277,120 ","$5,678,553 ","$16,955,673 ","$142,131 "
M152,R152,"$54,117,416 ","$98,249,368 ","$152,366,784 ","$4,610,676 "
M153,R153,"$150,357,137 ","$91,147,852 ","$241,504,989 ","$38,740,203 "
M154,R154,"$2,679,437 ","$154,621,517 ","$157,300,954 ","$784,839 "
M155,R155,"$34,531,832 ","$15,831,958 ","$50,363,790 ","$10,513,749 "
