movie_id,movie_title,production_budget
M202,Denial,"$10,000,000 "
M203,American Honey,"$3,500,000 "
M204,Deepwater Horizon,"$156,000,000 "
M205,Peppermint,"$25,000,000 "
M206,American Assassin,"$63,000,000 "
M207,Victoria and Abdul,"$21,000,000 "
M208,Carol,"$11,800,000 "
M209,The Hunger Games: Mockingjay - Part 2,"$160,000,000 "
M210,Queen of Katwe,"$15,000,000 "
M211,Masterminds,"$25,000,000 "
M212,The Nun,"$22,000,000 "
M213,The Lady in the Van,"$6,000,000 "
M214,Home Again,"$15,000,000 "
M215,Miss Peregrineâ€™s Home for Peculiar Children,"$110,000,000 "
M216,Storks,"$70,000,000 "
M217,Secret in Their Eyes,"$20,000,000 "
M218,Kin,"$30,000,000 "
M219,The Night Before,"$25,000,000 "
M220,Love the Coopers,"$18,000,000 "
M221,By the Sea,"$20,000,000 "
M222,Heist,"$8,900,000 "
M223,Trumbo,"$15,000,000 "
M224,Spotlight,"$20,000,000 "
M225,Hillsong: Let Hope Rise,"$10,000,000 "
M226,31,"$1,500,000 "
M227,Blair Witch,"$10,000,000 "
M228,The Magnificent Seven,"$90,000,000 "
M229,The Happytime Murders,"$40,000,000 "
M230,Searching,"$880,000 "
M231,It,"$35,000,000 "
M232,The Peanuts Movie,"$99,000,000 "
M233,Brooklyn,"$11,000,000 "
M234,Tulip Fever,"$25,000,000 "
M235,Our Brand is Crisis,"$28,000,000 "
M236,The Disappointments Room,"$15,000,000 "
M237,Mile 22,"$35,000,000 "
M238,Birth of the Dragon,"$31,000,000 "
M239,The Dressmaker,"$11,900,000 "
M240,Scouts Guide to the Zombie Apocalypse,"$15,000,000 "
M241,When the Bough Breaks,"$10,000,000 "
M242,Sully,"$60,000,000 "
M243,Bridget Jonesâ€™s Baby,"$35,000,000 "
M244,A.X.L.,"$10,000,000 "
M245,Crazy Rich Asians,"$30,000,000 "
M246,Alpha,"$51,000,000 "
M247,American Made,"$50,000,000 "
M248,All Saints,"$2,000,000 "
M249,Rock the Kasbah,"$15,000,000 "
M250,Morgan,"$8,000,000 "
M251,Madelineâ€™s Madeline,"$500,000 "
M252,Patti Cake$,"$1,000,000 "
M253,Logan Lucky,"$29,000,000 "
M254,The Hitmanâ€™s Bodyguard,"$30,000,000 "
M255,The Light Between Oceans,"$20,000,000 "
M256,The Meg,"$178,000,000 "
M257,Dog Days,"$10,000,000 "
M258,BlacKkKlansman,"$15,000,000 "
M259,Jem and the Holograms,"$5,000,000 "
M260,Burnt,"$20,000,000 "
M261,The Last Witch Hunter,"$80,000,000 "
M262,Paranormal Activity: The Ghost Dimension,"$10,000,000 "
M263,Woodlawn,"$13,000,000 "
M264,The Darkest Minds,"$34,000,000 "
M265,Christopher Robin,"$75,000,000 "
M266,Twenty-Two,"$425,000 "
M267,The Nut Job 2: Nutty by Nature,"$40,000,000 "
M268,Room,"$13,000,000 "
M269,Hands of Stone,"$20,000,000 "
M270,The Spy Who Dumped Me,"$40,000,000 "
M271,Siakh lokhamim: ha'slilim ha'gnouzim,"$450,000 "
M272,Collide,"$29,200,000 "
M273,Mechanic: Resurrection,"$40,000,000 "
M274,Teen Titans Go! To The Movies,"$10,000,000 "
M275,The Lobster,"$4,500,000 "
M276,Goosebumps,"$58,000,000 "
M277,Crimson Peak,"$55,000,000 "
M278,Bridge of Spies,"$40,000,000 "
M279,Donâ€™t Breathe,"$10,000,000 "
M280,War Dogs,"$50,000,000 "
M281,Kidnap,"$21,000,000 "
M282,Columbus,"$700,000 "
M283,Steve Jobs,"$30,000,000 "
M284,The Miseducation of Cameron Post,"$900,000 "
M285,The Dark Tower,"$66,000,000 "
M286,Annabelle: Creation,"$15,000,000 "
M287,Spectre,"$300,000,000 "
M288,Kubo and the Two Strings,"$55,000,000 "
M289,Unfriended: Dark Web,"$1,000,000 "
